cik,ticker,fiscal_year,curr_id,prev_id,similarity,label,review,heading,structural_rewrite
7789,ASB,2022,7789_FY2022_000,7789_FY2021_000,1.0,CARRIED_FORWARD,,Risk Factors,
7789,ASB,2022,7789_FY2022_015,7789_FY2021_018,1.0,CARRIED_FORWARD,,We rely on dividends from our subsidiaries for most of our revenue.,
7789,ASB,2022,7789_FY2022_009,7789_FY2021_012,0.3389,MATERIALLY_REVISED,y,Impairment of our access to liquidity could affect our ability to meet our obligations.,
7789,ASB,2022,7789_FY2022_045,7789_FY2021_048,0.9549,CARRIED_FORWARD,,Fee revenues from overdraft protection programs constitute a significant portion of our noninterest income and may be subject to increased supervisory scrutiny.,
7789,ASB,2022,7789_FY2022_048,7789_FY2021_051,1.0,CARRIED_FORWARD,,"We are a defendant in a variety of litigation and other actions, which may have a material adverse effect on our financial condition and results of operation.",
7789,ASB,2022,7789_FY2022_053,7789_FY2021_057,1.0,CARRIED_FORWARD,,We may reduce or eliminate dividends on our common stock.,
7789,ASB,2022,7789_FY2022_056,7789_FY2021_060,0.9856,CARRIED_FORWARD,,An investment in our common stock is not an insured deposit.,
7789,ASB,2022,7789_FY2022_016,7789_FY2021_019,1.0,CARRIED_FORWARD,,We face significant operational risks due to the high volume and the high dollar value nature of transactions we process.,
7789,ASB,2022,7789_FY2022_021,7789_FY2021_024,0.986,CARRIED_FORWARD,,The potential for business interruption exists throughout our organization.,
7789,ASB,2022,7789_FY2022_040,7789_FY2021_043,0.9006,CARRIED_FORWARD,,"The Bank faces risks related to the adoption of future legislation and potential changes in federal regulatory agency leadership, policies, and priorities.",
7789,ASB,2022,7789_FY2022_037,7789_FY2021_040,1.0,CARRIED_FORWARD,,We may be adversely affected by risks associated with potential and completed acquisitions.,
7789,ASB,2022,7789_FY2022_059,7789_FY2021_001,0.3006,MATERIALLY_REVISED,y,"The coronavirus (COVID-19) pandemic has disrupted economic conditions, the financial and labor markets and workplace operating environments.",
7789,ASB,2022,7789_FY2022_062,7789_FY2021_065,1.0,CARRIED_FORWARD,,We may not be able to attract and retain skilled people.,
7789,ASB,2022,7789_FY2022_039,7789_FY2021_042,0.9484,CARRIED_FORWARD,,We are subject to extensive government regulation and supervision.,
7789,ASB,2022,7789_FY2022_054,7789_FY2021_058,1.0,CARRIED_FORWARD,,Common stock is equity and is subordinate to our existing and future indebtedness and preferred stock and effectively subordinated to all the indebtedness and other non-common equity claims against our subsidiaries.,
7789,ASB,2022,7789_FY2022_010,7789_FY2021_013,0.8994,MATERIALLY_REVISED,,We are subject to interest rate risk.,
7789,ASB,2022,7789_FY2022_004,7789_FY2021_007,0.9757,CARRIED_FORWARD,,We are subject to lending concentration risks.,
7789,ASB,2022,7789_FY2022_002,7789_FY2021_005,0.9641,CARRIED_FORWARD,,"Changes in U.S. trade policies, including the imposition of tariffs and retaliatory tariffs, may adversely impact our business, financial condition, and results of operations.",
7789,ASB,2022,7789_FY2022_017,7789_FY2021_020,0.9658,CARRIED_FORWARD,,"Unauthorized disclosure of sensitive or confidential client or customer information, whether through a cyber-attack, other breach of our computer systems or otherwise, could severely harm our business.",
7789,ASB,2022,7789_FY2022_024,7789_FY2021_027,1.0,CARRIED_FORWARD,,Revenues from our investment management and asset servicing businesses are significant to our earnings.,
7789,ASB,2022,7789_FY2022_035,7789_FY2021_038,1.0,CARRIED_FORWARD,,New lines of business or new products and services may subject us to additional risk.,
7789,ASB,2022,7789_FY2022_036,7789_FY2021_039,1.0,CARRIED_FORWARD,,Failure to keep pace with technological change could adversely affect our business.,
7789,ASB,2022,7789_FY2022_028,7789_FY2021_031,1.0,CARRIED_FORWARD,,Our earnings are significantly affected by the fiscal and monetary policies of the federal government and its agencies.,
7789,ASB,2022,7789_FY2022_030,7789_FY2021_033,0.9754,CARRIED_FORWARD,,We operate in a highly competitive industry and market area.,
7789,ASB,2022,7789_FY2022_029,7789_FY2021_032,1.0,CARRIED_FORWARD,,Our financial condition and results of operations could be negatively affected if we fail to grow or fail to manage our growth effectively.,
7789,ASB,2022,7789_FY2022_005,7789_FY2021_008,0.9586,CARRIED_FORWARD,,CRE lending may expose us to increased lending risks.,
